offensive,text
1,שמן מכוער
1,יכלב
1,בן זונה
0,עלה
0,יגיע
0,כמה
1,בתחת
0,תחת
1,שרמוטה
1,בן כלב
0,כלב
1,לתחת
1,זונה
0,כלב שלי
1,זונה יפה שלי
0,יפה שלי
0,כלב יפה
1,מזויין
1,מזדיין
1,זיון
1,זין
0,מתחת
0,מדף
0,שמנה
0,יש לי בית בגינה
1,בת של זונה
1,כלבה שרמוטה
1,כלבה שמנה
0,כלבה יפה
0,כלבה
1,יזונה
0,שן תחת שן
1,תחת יפה
0,מתחת למדף יש מספריים
0,בטון מזוין
0,לא שמנה
0,ילדה קטנה
0,קופה
1,מסריח
1,מזדיין בתחת
0,ההשתתפות בשיחה כוללת תגובה לדברים שנאמרו לאורך השיחה
0,עם התקדמות הטכנולוגיה הופיעו טכניקות נוספות לקיום שיחה
0,מאפשר קיום שיחה באותה השפה
1,כוס אמאש'ך
0,לתקשורת בין אנשים הדוברים שפות שונות נהוג להשתמש
0,ראיון הוא שיחה בין עיתונאי לבין מרואיין
0,דיאלוג ספרותי מכיל דרמה במשפט
0,נמצאה הסוגה הספרותית כבר בדיאלוגים
1,אמא שלך
0,אפלטון חיבר סדרת דיאלוגים
0,בעיקר בין סוקרטס לאנשים אחרים
0,"אפלטון פישט את צורת הדיאלוג לכדי טיעון לוגי טהור, תוך שמירה על שלמות הדמות הספרותית. מרבית הכתבים האפלטוניים משתמשים בכלי הדיאלוגי, ובעקבות אפלטון החלו רבים בעת העתיקה להשתמש בכלי זה כסוגה ספרותי. זמן לא רב אחרי אפלטון כתב קסנופון את ה""סימפוזיון"". נאמר כי אריסטו כתב מספר דיאלוגים בסגנון אפלטוני, אך אף אחד מהם לא שרד."
1,כוס אמא שלך
0,חיבר מספר דיאלוגים מחקריים
0,כאשר המפורסם שבהם הוא דיאלוג על שתי מערכות העולם המרכזיות
1,כוס אוחתאכ
0,כאשר המפורסם שבהם הוא דיאלוג על שתי מערכות העולם המרכזיות
0,היצירה היהודית הפילוסופית הגדולה ביותר היא הדיאלוג המצוי
1,שמתי זין עליך / עליו!
1,שמתי על זה זין
1,אמאש'ך
1,לשים זין
1,תקפוץ לי
1,תקפצי לי
1,תמצצי לי
0,משתמשות בדיאלוג על מנת למסור אנקדוטות באמצעות שיחה בין הדמויות
0,"הספר עורר הדים רבים בתחום המחשבה היהודית,"
0,שהתבסס על ויכוחים פומביים בין רבנים יהודיים לאנשי דת נוצריים
0," בו הציג את משנתו הרעיונית והמעשית להגשמת האידיאלים של סבו רש""ר הירש בצורה של דיאלוגים מרובים בין נער יהודי גרמני לבין מגוון אנשים מזרמים שונים"
1,תמצוץ לי
1,לך תזדיין
1,כוס
0,מקורותיה של הפילוסופיה הדיאלוגית משיקים למומנטים שונים בתולדות הדת והפילוסופיה
0,שאב השראה הן מהמסורת המערבית (והאקזסטנציאליזם בפרט)
1,אינעל אבוכ
1,כוס רבאכ
1,כוס אוחתאכ
1,בן-זונה
1,בת-זונה
0,עיקר פעילותו בתחומי השירות האזרחי–חברתי המנויים
0,הפסיכולוגיה החברתית המודרנית הושפעה רבות מן הפסיכולוגיה הקוגניטיבית
0,בסיטואציה זו יקבעו את אופן פעולתו
1,את ממש מכוערת
0, המחקר עוסק באיסוף נתונים אמפיריים והבנה של תהליכי השפעה הדדיים ומתמשכים בין הפרטים בחברה
1,אתה כל כך מכוער
1,אתה גם שמן וגם מכוער
0,"פסיכולוגיה חברתית איננה נלמדת כתואר ראשון בדרך כלל, אלא כתואר שני"
1,אתה פשוט לא יודע על מה אתה מדבר אתה אידיוט
1,אתם כאלה טיפשים איך אתם לא מבינים מה זה אומר?
0,נחקרת גם השפעתם של אנשים אחרים על ההתנהגות גם כאשר הם אינם נוכחים באופן פיזי
0,חקר את הסוציולוגיה של היום יום
0,התאוריה מבוססת בעיקרה על ההבנה בין אנשים ועל פרשנות משותפת לסמלים ולגירויים
1,אי אפשר להבין מה אתה אומר יאוטיסט
0,צריך להתחשב בילדים האוטיסטים
0,אי אפשר לא לשלב אוטיסטים בחברה
1,שתוק יאוטיסט
0,משא ומתן זה הוא פתוח והוא נובע מהעובדה שהשחקנים החברתיים נכנסים לאינטראקציה עם אינטרסים שונים וכוונות שונות
0,פירי מדבר בסלנג המקומי ומאתגר את מנהיג הכנופיה (ניהול רושם של אחד מהחבר'ה)
0,כוס מים קרים תמיד גורמים להרגיש טוב
1,כוס חם ורטב
0,כוס תה ממש חם
0,הכוס קפה הזה מסריח קצת
0,הכוס נשברה כשנפלה
0,הכוס הזאת לא יפה בכלל
0, אפשרויות חיפוש 
0, קפיצה מהירה 
0, קישורים שימושיים
0,העלאת תמונות
0,ויראלי ברשת
0, קפיצה מהירה לקטגוריה
0,דיון עזרה וייעוץ
0,ספורט ובריאות
0,פנאי ובידור
0,וידאו וסרטים
0,מחשבים ואינטרנט
0,תכנות ובניית אתרים
0,סדרות טלוויזיה
0,משחקי פעולה
0,גרפיקה ואומנות
0,"אוהדים בחו""ל"
0,משחקי תפקידים
0,לימודים והשכלה
0,אוהדים בארץ
0,משחקי אסטרטגיה
0,פורומי מערכת
0, קפיצה 
0, הגדרות 
0,נעיצת האדר:
0,התחבר facebook
0,התחברות לאתר
0,הרשמה לאתר
0,דף הבית
0,דו־גלגלי וטרקטורונים
0,הכרזה| מבצע של משטרת התנועה
0,הרשמה באמצעות facebook
0,עבור לעמוד:  
0,הוסף לקריאה מאוחרת
0,הסר מקריאה מאוחרת
0,הגדרות אשכול
0,הצג גרסא להדפסה
0,שלח אשכול זה לחבר…
0,הירשם לעדכוני אשכול זה…
0,מבצע של משטרת התנועה
0,חתיך שובב
0,צפה בפרופיל
0,חפש הודעות
0,הודעה פרטית
0,"יש מבצע של משטרת התנועה סיירת האופנועים, נעצרתי השבוע כמה פעמים, קיבלתי דוח על שעליתי על אי תנועה מצויר כדי לעקוף פקק, תיזהרו "
0,הצג עוד
0,שם פרטי אלון
0,איזה ערים?
0, הגב עם ציטוט
0,בני ביטון
0,שם פרטי בני
0,טוב שקיבלת רק דוח לעלות על הפרדת אי תנועה זה עבירה חמורה מאוד
0, פורסם במקור על ידי בני ביטון
0,מאוד מאוד מאוד (ציני)
0,שם פרטי יובל
0,"קו הפרדה רצוף יכול ולרוב נגמר בשלילה, דוח זה ""יצאת בזול"","
0,בסדר ככה לומדים
0,איפה בדיוק כתבתי קו הפרדה רצוף?
0, פורסם במקור על ידי חתיך שובב
0,גם על אי תנועה אסור לעלות
0,"פתאום כולם פה נהיו מפקדי משטרת התנועה, כולם רוכבים לפי החוק"
0,כל הכבוד צדיקים
0,"התשתיות לא משהו ולאופנוענים מחליקים גם ככה, אבל אם תופסים אותך עושה את זה בצורה מסכנת כנראה שיש לך בעיה ומגיע לך, אתה לא אמור להשתולל בכביש ובכלל להיתפס על ידי משטרה"
0,איפה ראית שאני משתולל ?
0,"טוב השיחה איתך נגמרה, רואה שאני מדבר עם קיר"
1,כניראה אתה שוטר
0,שם פרטי איציק
0,תשנה את הכינוי לחתיך המשתולל איזה סוטה ומטומטם
1,כמה נעל ואידיוט אתה יכול לצאת ביום אחד של פוסתים?
0,"אין מה להיות צדיק או מפקד משטרה,"
0,"אסור לפי חוק אסור לך להיות על זה.. אני לא מבין מה ההפתעה שקיבלת דו""ח..."
0,זה לא דבר חדש ואין מה להעלב או להתעצבן
0,מתעצבן שכולם פה צדיקים שנוסעים לפי החוק ויכולים להטיף מוסר לאחרים
1,עין מצב שאתא נוסע על אופנוע לפי החוקים... אל תהיה זהבה גלעון של האופנואים מתייפייף למשטרה יקוקסינל מלשין 
0,האשכול הקודם
